2019,2018,Institution Name,Country,Classification,,,,,Academic Reputation,,Employer Reputation,,Faculty Student,,Citations per Faculty,,International Faculty,,International Students,,Overall Score
  329=,  308=,WESTFƒLISCHE WILHELMS-UNIVERSITƒT M‹NSTER,Germany,XL,FC,VH,5,A,34.1,235,33.2,284,45.4,339,20.4,542,28,466,10.5,601+,32.1
  332=,  346=,BRUNEL UNIVERSITY,United Kingdom,M,CO,VH,4,A,11.9,501+,16.8,501+,21,601+,56.9,183,98.9,75,98.5,50,32
  332=,  316=,MASSEY UNIVERSITY,New Zealand,L,CO,VH,4,A,27.3,309,28.9,339,18.7,601+,24.9,479,98.8,79,89.1,110,32
  332=,  349=,QATAR UNIVERSITY,Qatar,M,FC,HI,3,A,13.9,501+,19.3,475,61.9,239,10.5,601+,100,12,99.5,34,32
  332=,  357=,UNIVERSITƒT ULM,Germany,M,CO,VH,4,A,7.4,501+,9.9,501+,76,169,44.7,284,45.8,346,31.4,418,32
  336=,  301=,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ (UCSC)",United States,L,CO,VH,4,A,20.1,408,15.1,501+,10.9,601+,91.3,31,26.2,477,10.7,601+,31.9
  336=,  357=,UNIVERSITY OF JYVƒSKYLƒ,Finland,M,CO,VH,4,A,17.2,475,5.7,501+,87.2,106,21.7,519,43.6,355,7.3,601+,31.9
  338=,  344=,NANKAI UNIVERSITY,China,L,FC,VH,4,A,24.1,340,8.1,501+,33.9,446,61.8,146,31.1,444,8.8,601+,31.7
  338=,338,UME≈ UNIVERSITY,Sweden,L,FC,VH,4,A,18.6,438,7.4,501+,81.1,144,24.4,487,31.9,439,15.1,592,31.7
  338=,  388=,UNIVERSITƒT MANNHEIM,Germany,M,FO,VH,5,A,18.5,444,67.4,104,11.5,601+,56.3,186,44.5,350,33.3,401,31.7
  338=,  283=,UNIVERSITY COLLEGE CORK (UCC),Ireland,L,FC,VH,5,A,25.7,324,25.5,382,28.7,521,30,429,95,132,46.4,307,31.7
  338=,  367=,VIRGINIA POLYTECHNIC INSTITUTE (VIRGINIA TECH),United States,XL,FC,VH,5,A,31.4,256,32.3,291,28.1,528,40,323,22.6,504,22.4,491,31.7
  343=,379,AALBORG UNIVERSITY,Denmark,L,FC,VH,3,A,17,479,34.4,279,43.9,354,33.5,377,75.7,221,39.7,351,31.6
  343=,  382=,NATIONAL RESEARCH UNIVERSITY - HIGHER SCHOOL OF ECONOMICS (HSE),Russia,L,FO,VH,3,A,19.4,420,28.8,344,96.6,52,1.7,601+,10.3,601+,14.5,601+,31.6
  345=,  352=,GEORGE WASHINGTON UNIVERSITY,United States,L,FC,VH,5,B,28.2,297,24.9,391,31.5,484,34.3,371,40.5,376,50.1,290,31.5
  345=,  364=,RENSSELAER POLYTECHNIC INSTITUTE,United States,M,CO,VH,5,B,11.9,501+,12.4,501+,32.2,475,73,86,40.3,379,47.7,301,31.5
  345=,  391=,UNIVERSITY OF UTAH,United States,L,FC,VH,5,A,16.4,501+,6.9,501+,66.8,215,43.7,293,26.8,472,14.1,601+,31.5
348,303,UNIVERSIT… DE STRASBOURG,France,XL,FC,HI,5,A,47.1,161,9.3,501+,11.6,601+,23.6,500,41,373,46.5,305,31.3
349,  382=,STONY BROOK UNIVERSITY,United States,L,FC,VH,4,A,22.1,373,7.2,501+,39.8,388,39.6,329,30.5,449,82.4,137,31.2
350,390,UNITED ARAB EMIRATES UNIVERSITY,United Arab Emirates,M,FC,HI,3,A,17.2,477,22.7,419,57.6,270,11,601+,100,13,62.9,228,31.1
351,343,CITY UNIVERSITY LONDON,United Kingdom,L,CO,HI,5,A,15.4,501+,24.8,392,13.4,601+,49.2,244,95.3,129,99.8,27,31
  352=,351,KOBE UNIVERSITY,Japan,L,FC,VH,4,A,26.1,318,31.6,299,66.1,219,15.3,601+,10.7,601+,8.9,601+,30.9
  352=,  367=,TOKYO MEDICAL AND DENTAL UNIVERSITY,Japan,S,FO,VH,4,A,12.5,501+,6,501+,100,9,21.6,520,3.5,601+,14.4,601+,30.9
354,  334=,BELARUS STATE UNIVERSITY,Belarus,L,FO,HI,4,A,16.4,501+,30.8,316,95.3,61,1.7,601+,9,601+,24.4,471,30.8
  355=,  373=,MOSCOW STATE INSTITUTE OF INTERNATIONAL RELATIONS ñ MGIMO UNIVERSITY,Russia,M,SP,MD,4,A,10.1,501+,31.9,296,99.6,33,1,601+,13.1,601+,52.1,277,30.7
  355=,  347=,UNIVERSITY OF ESSEX,United Kingdom,L,CO,HI,4,A,20.3,405,13.8,501+,19.9,601+,35.9,354,99.9,55,99.7,30,30.7
  355=,  373=,UNIVERSITY OF KENT,United Kingdom,L,CO,VH,4,A,19.1,425,15,501+,32.2,474,28.8,444,97.7,98,88.4,112,30.7
  355=,  305=,UNIVERSITY OF LISBON,Portugal,XL,FC,VH,5,A,37.7,206,27.6,355,15.1,601+,38.2,340,9,601+,33.6,399,30.7
  359=,  331=,BANDUNG INSTITUTE OF TECHNOLOGY (ITB),Indonesia,L,CO,HI,4,A,36.2,217,41.7,219,43.9,353,3.2,601+,42.1,365,2.6,601+,30.4
  359=,  346=,UNIVERSITY OF VICTORIA,Canada,L,CO,VH,4,A,16.3,501+,10.1,501+,7.1,601+,70.5,97,91.3,157,54.9,261,30.4
361,311,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,Brazil,XL,FC,VH,4,A,53,137,18.9,481,22.5,601+,10.4,601+,7.1,601+,3,601+,30.3
362,  398=,TAIPEI MEDICAL UNIVERSITY,Taiwan,M,FO,VH,4,B,9.7,501+,13.2,501+,93.6,73,18.7,575,28.5,462,20,525,30.2
  363=,  259=,NORWEGIAN UNIVERSITY OF SCIENCE AND TECHNOLOGY,Norway,XL,FC,VH,5,A,27,311,28.1,349,32.6,468,28.4,445,68.1,252,15.6,583,30.1
  363=,  361=,OXFORD BROOKES UNIVERSITY,United Kingdom,L,CO,HI,3,A,27.8,302,59.3,130,14.8,601+,15.1,601+,60.5,290,79.3,152,30.1
  363=,501-550,TECHNISCHE UNIVERSITƒT GRAZ,Austria,M,FO,VH,5,A,11.4,501+,15.3,501+,73.3,181,16.9,596,65.9,260,52.1,279,30.1
366,380,TAMPERE UNIVERSITY OF TECHNOLOGY,Finland,M,CO,VH,3,A,9,501+,17.9,501+,76.1,167,32.6,398,38.7,388,17.6,551,30
  367=,  331=,UNIVERSIDAD AUSTRAL,Argentina,S,CO,MD,3,B,17.3,474,41.4,222,88,97,1.8,601+,5.7,601+,9.8,601+,29.9
  367=,  386=,UNIVERSITY OF KANSAS,United States,L,FC,VH,5,A,16.6,495,12.2,501+,82.2,134,19.3,562,18.4,557,15.7,581,29.9
  369=,  367=,JAMES COOK UNIVERSITY (JCU),Australia,L,FC,HI,3,A,13.5,501+,9.9,501+,15.6,601+,54.9,195,93.1,145,90,105,29.7
  369=,  364=,PONTIFICIA UNIVERSIDAD CAT”LICA ARGENTINA SANTA MARÕA DE LOS BUENOS AIRES (UCA),Argentina,L,FC,LO,4,B,16.2,501+,44.7,200,86.9,108,1.2,601+,,,20.6,514,29.7
  369=,  367=,UNIVERSITY OF TROMSO,Norway,L,FC,HI,4,A,13.3,501+,2.9,501+,91.9,78,9.2,601+,59.9,293,15.5,585,29.7
372,401-410,RUHR-UNIVERSITƒT BOCHUM,Germany,XL,FC,VH,4,A,22.8,361,21,449,5.1,601+,68.4,110,38.5,389,33,405,29.6
  373=,  386=,TOMSK POLYTECHNIC UNIVERSITY,Russia,M,FO,VH,5,A,9.2,501+,20.1,461,89.1,89,3.3,601+,20.5,527,81.7,139,29.4
  373=,421-430,UNIVERSITY OF CONNECTICUT,United States,L,FC,VH,5,A,16.7,492,7.4,501+,23.1,601+,60.5,152,69.5,249,33.3,402,29.4
375,372,UNIVERSITY OF ST GALLEN (HSG),Switzerland,M,SP,VH,5,A,9.9,501+,73.5,89,7.7,601+,33.4,381,100,47,94.6,82,29.3
  376=,411-420,AMERICAN UNIVERSITY OF SHARJAH,United Arab Emirates,M,FC,HI,2,B,16.8,486,43.1,210,25.6,563,14.7,601+,100,2,100,4,29.2
  376=,  339=,BOSTON COLLEGE,United States,L,CO,HI,5,B,23.4,352,29.4,333,31.6,482,29.1,441,73.1,235,20.7,510,29.2
  376=,411-420,UNIVERSITY OF OULU,Finland,M,FC,VH,4,A,16.1,501+,14.1,501+,61.3,243,34.2,373,33.4,432,9.5,601+,29.2
  376=,384,UNIVERSITY OF SOUTHERN DENMARK,Denmark,L,FO,VH,4,A,18.2,452,18.2,492,42.4,368,29.7,437,75.9,220,36.2,378,29.2
380,  334=,MAHIDOL UNIVERSITY,Thailand,L,FC,VH,4,A,35.1,226,23.3,410,49.6,307,8.5,601+,15.1,594,5.5,601+,29.1
  381=,  373=,ASTON UNIVERSITY,United Kingdom,L,CO,HI,4,A,11.1,501+,48.5,176,12.1,601+,44.3,286,95.5,124,70.9,186,29
  381=,431-440,INDIAN INSTITUTE OF TECHNOLOGY ROORKEE (IITR),India,M,FO,VH,5,A,13.5,501+,21.6,439,16.8,601+,89.5,36,,,2.6,601+,29
  381=,  364=,UNIVERSITY OF THE WITWATERSRAND,South Africa,L,FC,VH,5,A,25.1,328,38.1,241,14.4,601+,35.9,355,87.1,181,12.7,601+,29
  384=,337,UNIVERSIDAD DE BELGRANO,Argentina,M,CO,LO,4,B,8.9,501+,27.9,351,91.1,82,1.1,601+,7.2,601+,71.3,183,28.8
  384=,  323=,"UNIVERSITY OF CALIFORNIA, RIVERSIDE (UCR)",United States,L,FC,VH,4,A,18.2,450,22.8,415,16.8,601+,61.4,148,60.6,289,10,601+,28.8
  384=,  367=,UNIVERSITY OF THE PHILIPPINES,Philippines,XL,FC,MD,5,A,30.9,260,49.6,168,54.3,286,2.1,601+,1.9,601+,1.5,601+,28.8
  387=,397,HUFS ñ HANKUK (KOREA) UNIVERSITY OF FOREIGN STUDIES,South Korea,L,CO,HI,4,B,12.6,501+,22.1,431,84,123,2.1,601+,42.9,362,40.8,342,28.7
  387=,307,POLITECNICO DI TORINO,Italy,XL,FO,VH,5,A,29.4,278,53.3,153,5.7,601+,43.3,297,2.7,601+,32.2,409,28.7
  387=,421-430,SWINBURNE UNIVERSITY OF TECHNOLOGY,Australia,L,CO,VH,3,A,12.6,501+,23.3,408,17.4,601+,42.5,304,98.7,81,87.6,116,28.7
  387=,411-420,WAKE FOREST UNIVERSITY,United States,M,FC,VH,5,B,6.5,501+,6.8,501+,100,14,19.6,557,7.9,601+,19.7,531,28.7
  391=,401-410,UNIVERSITAS GADJAH MADA,Indonesia,XL,FC,MD,4,A,37.4,210,36,259,38.5,397,1.5,601+,36.5,406,2.6,601+,28.6
  391=,  319=,UNIVERSITY OF LIEGE,Belgium,L,FC,VH,5,A,17.7,463,27.3,357,21.8,601+,48.2,252,33,435,61.8,231,28.6
  391=,401-410,WASHINGTON STATE UNIVERSITY,United States,L,FC,VH,5,A,28.5,294,19.5,471,23.9,588,32.1,406,68.4,250,12,601+,28.6
  394=,336,L.N. GUMILYOV EURASIAN NATIONAL UNIVERSITY,Kazakhstan,L,FO,HI,2,A,13.2,501+,21.4,441,96.1,54,1.4,601+,24.5,492,5,601+,28.5
  394=,411-420,UNIVERSITY OF WARSAW,Poland,XL,CO,VH,5,A,36.8,214,35,272,38.4,399,6.9,601+,9.1,601+,13.4,601+,28.5
396,  398=,"GOLDSMITHS, UNIVERSITY OF LONDON",United Kingdom,M,FO,VH,5,A,21.2,385,8.2,501+,23.5,599,25.8,469,84.7,190,95.8,76,28.3
  397=,N/A,CHUNG-ANG UNIVERSITY,South Korea,L,FC,HI,5,B,13.3,501+,21,448,80.3,148,10.4,601+,20.4,529,30.6,423,28.2
  397=,360,LA TROBE UNIVERSITY,Australia,L,CO,VH,4,A,18.5,442,27.9,352,8.6,601+,32.8,394,98.5,87,95.3,78,28.2
  397=,,PAKISTAN INSTITUTE OF ENGINEERING AND APPLIED SCIENCES (PIEAS),Pakistan,S,FO,VH,2,A,5.8,501+,7.3,501+,91.9,77,33.2,383,,,1.1,601+,28.2
  397=,385,UNIVERSITƒT KONSTANZ,Germany,M,CO,VH,4,A,23.1,357,10.4,501+,43.3,357,23.1,506,60.7,286,31.1,421,28.2
  397=,394,UNIVERSITY OF COLORADO AT DENVER,United States,L,FC,VH,5,A,8.3,501+,6.8,501+,100,8,15.8,601+,5.4,601+,13,601+,28.2
  402=,378,LAVAL UNIVERSITY,Canada,L,FC,VH,5,A,21.4,384,19.1,478,32.9,463,29.8,435,70.9,246,29.5,434,28.1
  402=,  388=,NATIONAL SUN YAT-SEN UNIVERSITY,Taiwan,M,CO,VH,3,A,23.4,350,17.9,500,30.6,496,46.9,269,18.4,556,8.6,601+,28.1
404,401-410,PETER THE GREAT ST.PETERSBURG POLYTECHNIC UNIVERSITY,Russia,L,FO,VH,5,A,9.9,501+,14.7,501+,87.8,100,2.7,601+,17.1,574,69.9,192,28
  405=,  361=,STELLENBOSCH UNIVERSITY,South Africa,L,FC,VH,5,A,25.6,325,28.9,341,5.1,601+,50.4,231,57.9,301,13.2,601+,27.9
  405=,  361=,UNIVERSIDADE NOVA DE LISBOA,Portugal,L,FC,HI,3,A,27.7,304,31.1,309,30.1,500,22.9,508,26.1,478,35,388,27.9
  407=,  352=,BEN GURION UNIVERSITY OF THE NEGEV,Israel,L,FC,VH,3,A,16.8,488,13.4,501+,20.3,601+,52.7,205,72.6,237,26.5,457,27.7
  407=,  398=,JOHANNES GUTENBERG UNIVERSITƒT MAINZ,Germany,XL,FC,VH,5,A,20.3,403,16,501+,53.8,287,20.4,545,38,396,23.2,483,27.7
  407=,401-410,UNIVERSIDAD EXTERNADO DE COLOMBIA,Colombia,L,CO,LO,5,B,9.3,501+,37.5,246,95.6,59,1.1,601+,14.7,598,1.6,601+,27.7
  407=,401-410,UNIVERSITY OF COIMBRA,Portugal,L,FC,VH,5,A,29.3,280,14.6,501+,22.9,601+,33.1,385,11.3,601+,53,271,27.7
411,461-470,JAGIELLONIAN UNIVERSITY,Poland,XL,FC,HI,5,A,30.7,264,27.5,356,52.6,289,6.2,601+,4.8,601+,10.4,601+,27.6
  412=,451-460,TULANE UNIVERSITY,United States,M,FC,VH,5,B,10.6,501+,5.6,501+,83.6,124,18.6,576,20.7,523,23.1,486,27.5
  412=,461-470,UNIVERSIDAD DE ZARAGOZA,Spain,L,FC,VH,5,A,22.2,372,15.9,501+,69.1,205,12.7,601+,4.3,601+,6.7,601+,27.5
  412=,491-500,URAL FEDERAL UNIVERSITY,Russia,L,CO,VH,4,A,14.7,501+,14.7,501+,88.5,92,1.9,601+,14.3,601+,25.7,463,27.5
  415=,471-480,HUAZHONG UNIVERSITY OF SCIENCE AND TECHNOLOGY,China,XL,FC,VH,4,A,19.8,415,21.9,434,17.9,601+,62.7,133,13.1,601+,7.9,601+,27.4
  415=,  391=,NATIONAL CENTRAL UNIVERSITY,Taiwan,M,CO,VH,4,A,22.2,369,15.4,501+,34.8,437,38.8,337,21.6,510,21.5,503,27.4
  417=,431-440,NATIONAL UNIVERSITY OF SCIENCES AND TECHNOLOGY (NUST) ISLAMABAD,Pakistan,M,CO,VH,3,A,15.9,501+,41.9,218,73.9,180,7.8,601+,3.5,601+,4,601+,27.3
  417=,401-410,UNIVERSITY OF STIRLING,United Kingdom,M,CO,VH,4,A,11.1,501+,12.2,501+,24,585,50.6,229,75.5,222,57.3,254,27.3
419,451-460,UNIVERSITY OF TENNESSEE,United States,L,FC,VH,5,A,13.2,501+,18.7,482,22.8,601+,74.1,81,6.2,601+,5,601+,27.2
  420=,  395=,AMERICAN UNIVERSITY IN CAIRO,Egypt,M,CO,HI,4,B,22.2,371,28.5,346,47.2,326,5.3,601+,91.4,156,4.9,601+,27.1
  420=,431-440,UNIVERSIDAD DE PALERMO,Argentina,M,FO,MD,3,B,9.5,501+,9.8,501+,76.8,162,1.1,601+,37.5,399,95.9,74,27.1
  422=,  391=,DUBLIN CITY UNIVERSITY (DCU),Ireland,L,CO,HI,3,A,14.7,501+,30.7,318,42.9,366,15.7,601+,70.6,247,53.8,269,27
  422=,421-430,SHANGHAI UNIVERSITY,China,XL,CO,VH,2,A,25.9,322,8.7,501+,51.6,296,16,601+,38.2,394,4.5,601+,27
  422=,421-430,UNIVERSIT¿ DI PISA,Italy,XL,FC,VH,5,A,39,195,20.6,452,11.1,601+,32,408,8,601+,5.8,601+,27
  422=,381,UNIVERSIT… DE MONTPELLIER,France,XL,CO,VH,5,A,22.2,370,27.1,358,11.8,601+,50.8,226,13.1,601+,43.1,327,27
  426=,  395=,ILLINOIS INSTITUTE OF TECHNOLOGY,United States,M,CO,VH,5,B,18,456,8,501+,22.6,601+,41.5,314,19.2,547,100,14,26.9
  426=,441-450,UNIVERSIT¿ DEGLI STUDI DI TRENTO,Italy,L,CO,VH,4,A,24.4,337,14.2,501+,16.4,601+,50.1,232,37.3,401,9.1,601+,26.9
  426=,421-430,UNIVERSITY OF TEXAS DALLAS,United States,L,CO,VH,3,A,15.9,501+,13.4,501+,9.1,601+,60.4,155,28.8,460,75.7,165,26.9
  429=,411-420,BRANDEIS UNIVERSITY,United States,M,CO,VH,4,B,12.1,501+,20.6,454,31.8,480,41.7,312,20.2,532,82.8,135,26.8
  429=,481-490,CHANG GUNG UNIVERSITY,Taiwan,M,FO,VH,3,B,4.1,501+,5.1,501+,72.5,184,47,267,4.9,601+,9.5,601+,26.8
431,421-430,THE UNIVERSITY OF GEORGIA,United States,XL,FC,VH,5,A,24.7,333,18.1,493,22.4,601+,32.9,390,66.2,258,11.9,601+,26.7
  432=,481-490,ABERYSTWYTH UNIVERSITY,United Kingdom,M,CO,VH,5,A,10.7,501+,6.6,501+,33.8,452,45,281,66.5,256,48.3,297,26.5
  432=,471-480,DONGGUK UNIVERSITY,South Korea,L,FC,HI,5,B,10.1,501+,11,501+,85.2,117,8.3,601+,16.1,580,35.6,384,26.5
  432=,471-480,SHARIF UNIVERSITY OF TECHNOLOGY,Iran,M,FO,VH,4,A,11.3,501+,16.5,501+,13.4,601+,86.7,48,1.9,601+,1.9,601+,26.5
  435=,441-450,BANGOR UNIVERSITY,United Kingdom,M,FC,HI,5,A,8.3,501+,7.7,501+,14.5,601+,65.7,124,57.2,303,67.1,206,26.4
  435=,441-450,SOGANG UNIVERSITY,South Korea,M,CO,VH,4,B,18.9,429,40.1,231,51.2,300,15.5,601+,13.6,601+,15.4,586,26.4
  435=,431-440,SWANSEA UNIVERSITY,United Kingdom,L,FC,HI,4,A,12.2,501+,14.8,501+,34.2,443,30.6,420,74.8,225,65.4,216,26.4
  435=,421-430,UNIVERSITY OF IOWA,United States,L,FC,VH,5,A,22.7,364,8.5,501+,36.2,420,38.4,339,9.7,601+,20.4,517,26.4
  439=,441-450,KAZAN FEDERAL UNIVERSITY,Russia,L,FO,VH,5,A,17.2,478,9.3,501+,77.1,160,2.8,601+,6.9,601+,39,355,26.2
  439=,421-430,UNIVERSITY OF DELAWARE,United States,L,CO,VH,5,A,12.8,501+,9.9,501+,12.4,601+,71.6,93,39.7,381,24.9,469,26.2
  439=,461-470,WAYNE STATE UNIVERSITY,United States,L,FC,VH,5,A,10.5,501+,4.9,501+,76.9,161,20.2,546,19.7,538,20.5,516,26.2
442,,UNIVERSITI TEKNOLOGI BRUNEI,Brunei,S,FO,HI,3,A,6.8,501+,9.3,501+,77.9,158,4.3,601+,98.8,77,20,527,26.1
  443=,431-440,BOND UNIVERSITY,Australia,S,FC,HI,3,B,3,501+,9.9,501+,51.4,299,18.2,581,98.8,78,97.7,56,26
  443=,471-480,TIANJIN UNIVERSITY,China,XL,CO,VH,5,A,17.2,476,6.2,501+,26.2,552,62,143,10.3,601+,5.5,601+,26
  443=,501-550,UNIVERSITY OF MACAU,Macau,M,FO,VH,3,A,10.9,501+,6.2,501+,21.2,601+,34.6,368,100,10,96.7,67,26
  446=,401-410,NATIONAL TECHNICAL UNIVERSITY OF ATHENS,Greece,L,FO,VH,5,A,19.4,421,41.1,224,8.9,601+,59.9,160,,,4.7,601+,25.9
  446=,501-550,RUDN UNIVERSITY,Russia,L,FC,MD,4,A,10.1,501+,16.1,501+,75.7,172,1.3,601+,5.6,601+,90.3,104,25.9
  448=,471-480,KING KHALID UNIVERSITY,Saudi Arabia,XL,FC,MD,2,A,6.2,501+,3.6,501+,81.9,137,1.5,601+,100,31,23.9,473,25.8
  448=,431-440,KO« UNIVERSITY,Turkey,M,CO,VH,3,B,16.3,501+,34.7,274,47,330,18.8,574,44.2,351,6.7,601+,25.8
  450=,481-490,COLORADO STATE UNIVERSITY,United States,L,CO,VH,5,A,18.8,432,22,433,40,386,28.2,449,34.5,423,10,601+,25.7
  450=,441-450,OREGON STATE UNIVERSITY,United States,L,CO,VH,5,A,17.5,471,6.5,501+,31.1,491,36.9,347,62.5,275,25.4,466,25.7
  450=,451-460,SULTAN QABOOS UNIVERSITY,Oman,M,FC,HI,3,A,9.5,501+,13,501+,65.4,223,11,601+,100,50,4.8,601+,25.7
  453=,431-440,CHRISTIAN-ALBRECHTS-UNIVERSITƒT ZU KIEL,Germany,L,FC,VH,5,A,17.6,467,7.5,501+,56.1,280,25.2,475,17.3,570,12.3,601+,25.6
  453=,411-420,UNIVERSIT… AIX-MARSEILLE,France,XL,FC,VH,5,A,34.7,230,8,501+,15.3,601+,25,478,25.6,484,29.3,438,25.6
  453=,481-490,"UNIVERSITY OF MARYLAND, BALTIMORE COUNTY",United States,M,FC,VH,4,A,11.4,501+,5.1,501+,19,601+,76.5,75,13,601+,13.7,601+,25.6
  456=,421-430,BILKENT UNIVERSITY,Turkey,M,CO,VH,3,B,20.5,395,38.8,237,21.4,601+,24.8,481,66.4,257,15.8,575,25.5
  456=,421-430,HITOTSUBASHI UNIVERSITY,Japan,M,SP,HI,5,A,21.5,382,63.9,114,34.6,439,4.4,601+,25.2,487,26.8,456,25.5
  456=,471-480,JOHANNES KEPLER UNIVERSITƒT LINZ (JKU),Austria,M,CO,VH,4,A,11,501+,29,337,40.2,382,27.3,457,71.5,244,21.5,502,25.5
  456=,501-550,THE CATHOLIC UNIVERSITY OF KOREA,South Korea,M,FC,VH,5,B,4.9,501+,2.5,501+,96.9,51,17.4,587,3.9,601+,4.1,601+,25.5
460,501-550,YOKOHAMA CITY UNIVERSITY,Japan,S,CO,VH,5,A,6.3,501+,3.5,501+,99.6,32,11,601+,5.2,601+,2.6,601+,25.4
  461=,501-550,CLARK UNIVERSITY,United States,S,CO,VH,5,B,5,501+,2.7,501+,36,421,54.7,196,17.9,564,79.5,149,25.3
  461=,501-550,UNIVERSITƒT DES SAARLANDES,Germany,L,FC,HI,4,A,10.4,501+,6.9,501+,37.1,412,32.9,391,63.7,272,63.9,224,25.3
  461=,451-460,UNIVERSITY OF SASKATCHEWAN,Canada,L,FC,VH,5,A,10.7,501+,10.1,501+,32,476,34.5,369,75.4,223,56.5,256,25.3
  464=,441-450,AUCKLAND UNIVERSITY OF TECHNOLOGY,New Zealand,L,CO,HI,2,A,17.5,469,25.4,383,17.5,601+,10.6,601+,99.6,61,99.9,23,25.2
  464=,451-460,BEIJING INSTITUTE OF TECHNOLOGY,China,L,FO,VH,4,A,21.2,386,7.6,501+,32,477,44.1,290,6,601+,8.1,601+,25.2
  464=,501-550,CHIBA UNIVERSITY,Japan,L,FC,VH,5,A,13,501+,5.6,501+,77.3,159,15.5,601+,9.3,601+,6.3,601+,25.2
  464=,431-440,CONCORDIA UNIVERSITY,Canada,XL,CO,VH,3,A,14.4,501+,38.2,239,6.8,601+,28.1,451,83.3,197,87.8,115,25.2
  464=,411-420,KAZAKH NATIONAL TECHNICAL UNIVERSITY AFTER K.I.SATPAYEV,Kazakhstan,M,FO,HI,4,A,11.9,501+,24.8,393,87.3,105,1.2,601+,1.6,601+,2.1,601+,25.2
  464=,501-550,UNIVERSIDADE FEDERAL DE S√O PAULO (UNIFESP),Brazil,L,FC,VH,4,A,12.4,501+,6.5,501+,84.6,121,11,601+,7,601+,2,601+,25.2
  470=,491-500,UNIVERSIDAD POLIT…CNICA DE MADRID,Spain,XL,SP,VH,3,A,28.7,291,51.9,160,21.4,601+,11.6,601+,3.3,601+,32.6,407,25.1
  470=,501-550,UNIVERSITY OF SZEGED,Hungary,L,FC,HI,5,A,16.8,489,13,501+,60.1,257,6.6,601+,15.6,589,57.4,253,25.1
  472=,431-440,FLORIDA STATE UNIVERSITY,United States,XL,FC,HI,5,A,25.8,323,31.1,310,12.4,601+,40.3,322,12.2,601+,6.5,601+,25
  472=,501-550,INDIAN INSTITUTE OF TECHNOLOGY GUWAHATI (IITG),India,M,CO,VH,2,A,13,501+,14.1,501+,26.4,549,64.6,127,1.8,601+,1.6,601+,25
  472=,481-490,UNIVERSIT¿ DEGLI STUDI DI NAPOLI FEDERICO II,Italy,XL,FC,VH,5,A,28.9,286,17.4,501+,5.8,601+,51.8,217,3.1,601+,,,25
475,491-500,JILIN UNIVERSITY,China,XL,FC,VH,4,A,18,458,12,501+,52.3,291,23.3,503,20.6,525,3.3,601+,24.8
  476=,501-550,"NATIONAL UNIVERSITY OF SCIENCE AND TECHNOLOGY ""MISIS""",Russia,M,CO,VH,4,A,8.9,501+,17.9,497,75.1,174,5.2,601+,8.7,601+,54.9,262,24.7
  476=,431-440,XIAMEN UNIVERSITY,China,XL,FC,VH,4,A,24,342,5.6,501+,28.8,515,40.4,321,8.4,601+,5,601+,24.7
  478=,551-600,FLINDERS UNIVERSITY,Australia,L,FC,HI,4,A,13.7,501+,10.2,501+,13.4,601+,39.6,328,74.2,228,74.8,169,24.6
  478=,451-460,INSTITUT NATIONAL DES SCIENCES APPLIQU…ES DE LYON (INSA),France,M,FO,VH,4,A,9.5,501+,35.6,268,47.7,322,8.1,601+,34.7,419,86.1,123,24.6
480,501-550,M.O.AUEZOV SOUTH KAZAKHSTAN STATE UNIVERSITY,Kazakhstan,L,CO,MD,4,A,8,501+,8.5,501+,92.6,76,1,601+,21,518,12.6,601+,24.5
  481=,491-500,KAZAKH NATIONAL PEDAGOGICAL UNIVERSITY ABAI,Kazakhstan,S,CO,MD,4,A,7.4,501+,8.6,501+,87.7,103,1.1,601+,37.4,400,16.8,564,24.4
  481=,,UCSI UNIVERSITY,Malaysia,M,CO,MD,3,C,6.5,501+,31,312,58.6,265,3,601+,50.3,328,75.4,168,24.4
  481=,551-600,UNIVERSIDAD DE ALCAL¡,Spain,L,FC,HI,3,A,13.4,501+,19.7,468,47.1,327,11.3,601+,25.9,481,80.9,143,24.4
  481=,451-460,UNIVERSITY OF EASTERN FINLAND,Finland,M,CO,VH,3,A,15.4,501+,7.2,501+,42.9,365,35.4,358,26.3,476,10.4,601+,24.4
  481=,401-410,V.N. KARAZIN KHARKIV NATIONAL UNIVERSITY,Ukraine,L,FC,MD,5,A,12.5,501+,8.2,501+,70.7,194,1.8,601+,1.5,601+,79.4,151,24.4
  481=,441-450,YORK UNIVERSITY,Canada,XL,CO,VH,4,A,21.5,383,33.7,281,14.4,601+,21,532,34.8,418,70.8,188,24.4
487,481-490,UNIVERSITY OF DELHI,India,L,FC,HI,4,A,34,236,48.5,177,11,601+,15.4,601+,6.4,601+,2,601+,24.2
488,401-410,VILNIUS UNIVERSITY,Lithuania,L,FC,HI,5,A,16.9,485,31.8,297,60.2,256,6.1,601+,11.7,601+,6,601+,24.1
  489=,471-480,IOWA STATE UNIVERSITY,United States,XL,CO,VH,5,A,20.8,392,11.4,501+,18.8,601+,39.9,324,32.5,438,21.9,499,24
  489=,501-550,UNIVERSIT… DE BORDEAUX,France,XL,FO,VH,5,A,33.6,239,5.2,501+,22.7,601+,7.8,601+,43.3,356,34.4,391,24
